PropertyID,GuestID,ReviewSummary,violation_type
P003,G1066,"Loved the location, very convenient!",Pet Violation
P003,G1068,"Other than that, the place was fine, but I wish communication had been clearer.",Pet Violation
P003,G1076,"Loved the location, very convenient!",Pet Violation
P003,G1079,"My experience at this Airbnb was disappointing. I was unexpectedly asked to leave because I had supposedly overstayed, but the checkout time was never clearly communicated. I would have happily left on time if I had been informed properly.",Pet Violation
P003,G0,"Additionally, there were noise complaints from the neighbors, but I wasn’t even responsible for any noise. I kept to myself and was out for most of my stay, so this felt unfair. While the place itself was decent, the lack of clear communication and the false accusations left a bad impression.",Noise Violation
P003,G1049,"Loved the location, very convenient!",Pet Violation
P003,G1025,"Loved the location, very convenient!",Pet Violation
P003,G1084,"Loved the location, very convenient!",Pet Violation
P003,G1085,"Loved the location, very convenient!",Pet Violation
P003,G1094,"Loved the location, very convenient!",Pet Violation
P003,G1098,"Loved the location, very convenient!",Pet Violation
P004,G1103,"Loved the location, very convenient!",Pet Violation
P004,G1108,"Loved the location, very convenient!",Pet Violation
P004,G1095,"Loved the location, very convenient!",Pet Violation
P004,G1114,"Loved the location, very convenient!",Pet Violation
P004,G1107,"Loved the location, very convenient!",Pet Violation
P004,G1117,"Loved the location, very convenient!",Pet Violation
P004,G1065,"Loved the location, very convenient!",Pet Violation
P004,G1070,"Loved the location, very convenient!",Pet Violation
P004,G1118,"Loved the location, very convenient!",Pet Violation
P004,G1078,"Other than that, the place was fine, but I wish communication had been clearer.",Pet Violation
P004,G1121,"Loved the location, very convenient!",Pet Violation
P004,G1056,"Loved the location, very conveniI felt a little uncomfortable with how strict the host was about guests and noise. I had some friends stop by, and suddenly it became an issue even though we weren’t being disruptive. I understand wanting to enforce rules, but it felt a bit excessive.

The property itself was great, but if you’re looking for a place where you can relax without feeling watched, this might not be the best option.ent!",Noise Violation
P004,G1122,"Loved the location, very convenient!",Pet Violation
P004,G1068,"Loved the location, very convenient!",Pet Violation
P004,G1046,"Loved the location, very convenient!",Pet Violation
P004,G1053,"Loved the location, very convenient!",Pet Violation
P004,G1050,"Loved the location, very convenient!",Pet Violation
P004,G1028,"Loved the location, very convenient!",Pet Violation
P004,G1125,"Loved the location, very convenient!",Pet Violation
P005,G1127,"I was falsely accused of smoking in the Airbnb, which was extremely frustrating since I don’t even smoke. The host jumped to conclusions without any evidence, making the whole situation stressful.",Smoking Violation
P005,G1013,"Loved the location, very convenient!",Pet Violation
P005,G1130,"Loved the location, very convenient!",Pet Violation
P005,G1021,"Loved the location, very convenient!",Pet Violation
P005,G1079,"Loved the location, very convenient!",Pet Violation
P005,G1132,"The place was okay, but the poor communication and false accusations made it a stressful stay. Wouldn’t recommend.",Pet Violation
P005,G1007,"I was falsely accused of smoking in the Airbnb, which was extremely frustrating since I don’t even smoke. The host jumped to conclusions without any evidence, making the whole situation stressful.",Smoking Violation
P005,G1141,"Loved the location, very convenient!",Pet Violation
P005,G1113,"Loved the location, very convenient!",Pet Violation
P005,G1145,"Too loud at night, difficult to sleep.",Noise Violation
P005,G1055,"Loved the location, very convenient!",Pet Violation
P005,G1147,"Loved the location, very convenient!",Pet Violation
P005,G1149,"Loved the location, very convenient!",Pet Violation
P005,G1150,"Loved the location, very convenient!",Pet Violation
P005,G1154,"Loved the location, very convenient!",Pet Violation
P005,G1155,"I was surprised to hear there were noise complaints from the neighbors because we were just having normal conversations and enjoying our time. I wouldn’t say we were being loud at all, but I guess the walls might be thin or the neighbors are just sensitive.",Noise Violation
P005,G1067,"Loved the location, very convenient!",Pet Violation
