PropertyID,GuestID,ReviewSummary,violations_detected,violation_type,Flagged
P001,G1004,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1008,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1011,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1011,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1011,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1011,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1011,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1011,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1015,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1015,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1015,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1015,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1015,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1015,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1016,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1016,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1016,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1016,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1016,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1016,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1010,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1010,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1010,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1010,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1010,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1010,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1013,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1013,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1013,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1013,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1013,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1013,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1024,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1024,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1024,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1024,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1024,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1024,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1005,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1005,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1005,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1005,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1005,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1005,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1014,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1014,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1014,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1014,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1014,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1014,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1025,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1025,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1025,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1025,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1025,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1025,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1026,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1026,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1026,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1026,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1026,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1026,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1005,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1005,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1005,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1005,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1005,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1005,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1010,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1010,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1010,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1010,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1010,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1010,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1020,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1020,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1020,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1020,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1020,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1020,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1035,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1035,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1035,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1035,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1035,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1035,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1019,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1019,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1019,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1019,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1019,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1019,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1013,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1013,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1013,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1013,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1013,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1013,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1047,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1047,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1047,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1047,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1047,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1047,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Other than that, the place was fine, but I wish communication had been clearer.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Other than that, the place was fine, but I wish communication had been clearer.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Other than that, the place was fine, but I wish communication had been clearer.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Other than that, the place was fine, but I wish communication had been clearer.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Other than that, the place was fine, but I wish communication had been clearer.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Other than that, the place was fine, but I wish communication had been clearer.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1003,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"Loved the location, very convenient!","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"I think there was a misunderstanding about the number of guests staying. I didn’t realize there were such strict limits, and the host seemed a bit upset about it. I totally respect the rules, but I wish this had been communicated more clearly upfront to avoid confusion.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"I think there was a misunderstanding about the number of guests staying. I didn’t realize there were such strict limits, and the host seemed a bit upset about it. I totally respect the rules, but I wish this had been communicated more clearly upfront to avoid confusion.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"I think there was a misunderstanding about the number of guests staying. I didn’t realize there were such strict limits, and the host seemed a bit upset about it. I totally respect the rules, but I wish this had been communicated more clearly upfront to avoid confusion.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
P002,G1056,"I think there was a misunderstanding about the number of guests staying. I didn’t realize there were such strict limits, and the host seemed a bit upset about it. I totally respect the rules, but I wish this had been communicated more clearly upfront to avoid confusion.","{'PropertyID': 'P002', 'Violation': 'Pet Violation'}",Pet Violation,True
