Date,Occupancy,PricePerNight,Revenue,PropertyID,GuestID,ReviewSummary,CleanedReview
10/10/24,1,116,116,P001,G1012,"Photos were misleading, room was smaller.",photo misleading room smaller
10/11/24,1,175,175,P001,G1012,Host was very responsive and helpful!,host responsive helpful
10/12/24,1,207,207,P001,G1012,Great value for the price!,great value price
10/13/24,1,192,192,P001,G1012,"Excellent amenities, everything as described!",excellent amenity everything described
10/14/24,1,87,87,P001,G1012,"A perfect stay, felt like home!",perfect stay felt like home
10/15/24,1,75,75,P001,G1012,The cleanliness could have been better.,cleanliness could better
10/16/24,1,100,100,P001,G1012,Would definitely stay here again!,would definitely stay
10/17/24,0,73,0,P001,G0,,
10/18/24,0,180,0,P001,G0,,
10/19/24,1,140,140,P001,G1008,"Super cozy, highly recommend!",super cozy highly recommend
10/20/24,1,178,178,P001,G1013,Would definitely stay here again!,would definitely stay
10/21/24,1,122,122,P001,G1013,Great value for the price!,great value price
10/22/24,1,98,98,P001,G1014,"Excellent amenities, everything as described!",excellent amenity everything described
10/23/24,1,87,87,P001,G1014,"Great experience, would book again!",great experience would book
10/24/24,1,70,70,P001,G1014,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
10/25/24,1,134,134,P001,G1014,"Excellent amenities, everything as described!",excellent amenity everything described
10/26/24,1,183,183,P001,G1014,Great value for the price!,great value price
10/27/24,1,200,200,P001,G1014,Great value for the price!,great value price
10/28/24,1,79,79,P001,G1014,"Super cozy, highly recommend!",super cozy highly recommend
10/29/24,1,94,94,P001,G1007,"Great experience, would book again!",great experience would book
10/30/24,1,140,140,P001,G1001,"Excellent amenities, everything as described!",excellent amenity everything described
10/31/24,1,135,135,P001,G1001,"Host was slow to respond, frustrating.",host slow respond frustrating
11/1/24,1,198,198,P001,G1001,Great value for the price!,great value price
11/2/24,1,176,176,P001,G1006,The cleanliness could have been better.,cleanliness could better
11/3/24,1,177,177,P001,G1006,"Not as expected, had some issues.",expected issue
11/4/24,1,143,143,P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
",place decent experience great leave earlier expected host said overstayed even though never informed checkout time also blamed noise complaint neighbor even making noise kept thing quiet time frustrating communication clearer would much better stay
11/5/24,1,120,120,P001,G1006,Host was very responsive and helpful!,host responsive helpful
11/6/24,1,156,156,P001,G1006,"Super cozy, highly recommend!",super cozy highly recommend
11/7/24,1,107,107,P001,G1006,"Excellent amenities, everything as described!",excellent amenity everything described
11/8/24,1,170,170,P001,G1006,"A perfect stay, felt like home!",perfect stay felt like home
11/9/24,1,172,172,P001,G1002,"Loved the location, very convenient!",loved location convenient
11/10/24,1,191,191,P001,G1002,Great value for the price!,great value price
11/11/24,1,132,132,P001,G1015,"Clean and well-maintained, fantastic experience!",clean fantastic experience
11/12/24,1,165,165,P001,G1015,Great value for the price!,great value price
11/13/24,1,108,108,P001,G1015,"Loved the location, very convenient!",loved location convenient
11/14/24,1,159,159,P001,G1015,Great value for the price!,great value price
11/15/24,0,144,0,P001,G0,,
11/16/24,1,183,183,P001,G1016,"Excellent amenities, everything as described!",excellent amenity everything described
11/17/24,1,137,137,P001,G1016,"Clean and well-maintained, fantastic experience!",clean fantastic experience
11/18/24,1,110,110,P001,G1016,"Loved the location, very convenient!",loved location convenient
11/19/24,0,160,0,P001,G0,,
11/20/24,1,85,85,P001,G1017,"A perfect stay, felt like home!",perfect stay felt like home
11/21/24,1,90,90,P001,G1017,"Great experience, would book again!",great experience would book
11/22/24,1,130,130,P001,G1017,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
11/23/24,1,200,200,P001,G1017,"A perfect stay, felt like home!",perfect stay felt like home
11/24/24,1,150,150,P001,G1017,"A perfect stay, felt like home!",perfect stay felt like home
11/25/24,1,142,142,P001,G1017,"Clean and well-maintained, fantastic experience!",clean fantastic experience
11/26/24,1,115,115,P001,G1017,"A perfect stay, felt like home!",perfect stay felt like home
11/27/24,1,93,93,P001,G1010,Host was very responsive and helpful!,host responsive helpful
11/28/24,1,141,141,P001,G1010,Great value for the price!,great value price
11/29/24,0,144,0,P001,G0,,
11/30/24,1,194,194,P001,G1001,Host was very responsive and helpful!,host responsive helpful
12/1/24,1,168,168,P001,G1001,Would definitely stay here again!,would definitely stay
12/2/24,1,129,129,P001,G1001,"Great experience, would book again!",great experience would book
12/3/24,1,125,125,P001,G1001,"Excellent amenities, everything as described!",excellent amenity everything described
12/4/24,1,94,94,P001,G1010,"Super cozy, highly recommend!",super cozy highly recommend
12/5/24,1,157,157,P001,G1010,Host was very responsive and helpful!,host responsive helpful
12/6/24,1,172,172,P001,G1010,Great value for the price!,great value price
12/7/24,1,191,191,P001,G1010,"Loved the location, very convenient!",loved location convenient
12/8/24,1,149,149,P001,G1010,"Clean and well-maintained, fantastic experience!",clean fantastic experience
12/9/24,1,76,76,P001,G1013,Host was very responsive and helpful!,host responsive helpful
12/10/24,1,105,105,P001,G1013,"Too loud at night, difficult to sleep.",loud night difficult sleep
12/11/24,1,121,121,P001,G1013,"Host was slow to respond, frustrating.",host slow respond frustrating
12/12/24,1,112,112,P001,G1003,"Photos were misleading, room was smaller.",photo misleading room smaller
12/13/24,1,207,207,P001,G1003,"Super cozy, highly recommend!",super cozy highly recommend
12/14/24,1,175,175,P001,G1003,"Great experience, would book again!",great experience would book
12/15/24,1,183,183,P001,G1003,Host was very responsive and helpful!,host responsive helpful
12/16/24,1,104,104,P001,G1003,"Super cozy, highly recommend!",super cozy highly recommend
12/17/24,1,147,147,P001,G1003,Would definitely stay here again!,would definitely stay
12/18/24,1,148,148,P001,G1003,"Not perfect for the area, felt overpriced.",perfect area felt overpriced
12/19/24,1,142,142,P001,G1003,Host was very responsive and helpful!,host responsive helpful
12/20/24,1,193,193,P001,G1003,"Clean and well-maintained, fantastic experience!",clean fantastic experience
12/21/24,1,151,151,P001,G1003,"A perfect stay, felt like home!",perfect stay felt like home
12/22/24,1,196,196,P001,G1018,"A perfect stay, felt like home!",perfect stay felt like home
12/23/24,0,79,0,P001,G0,,
12/24/24,1,122,122,P001,G1019,Great value for the price!,great value price
12/25/24,1,118,118,P001,G1020,"Excellent amenities, everything as described!",excellent amenity everything described
12/26/24,1,136,136,P001,G1020,"A perfect stay, felt like home!",perfect stay felt like home
12/27/24,1,152,152,P001,G1020,"Clean and well-maintained, fantastic experience!",clean fantastic experience
12/28/24,1,176,176,P001,G1020,Great value for the price!,great value price
12/29/24,1,186,186,P001,G1020,"Excellent amenities, everything as described!",excellent amenity everything described
12/30/24,1,130,130,P001,G1020,"Super cozy, highly recommend!",super cozy highly recommend
12/31/24,1,86,86,P001,G1020,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
1/1/25,1,96,96,P001,G1021,"A perfect stay, felt like home!",perfect stay felt like home
1/2/25,1,96,96,P001,G1021,Would definitely stay here again!,would definitely stay
1/3/25,1,137,137,P001,G1022,Would definitely stay here again!,would definitely stay
1/4/25,1,183,183,P001,G1022,"Excellent amenities, everything as described!",excellent amenity everything described
1/5/25,1,162,162,P001,G1022,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
1/6/25,1,94,94,P001,G1022,Host was very responsive and helpful!,host responsive helpful
1/7/25,0,74,0,P001,G0,,
1/8/25,1,131,131,P001,G1002,"Excellent amenities, everything as described!",excellent amenity everything described
1/9/25,1,167,167,P001,G1023,Host was very responsive and helpful!,host responsive helpful
1/10/25,1,133,133,P001,G1024,"Loved the location, very convenient!",loved location convenient
1/11/25,1,196,196,P001,G1024,"Not worth the price, expected better.",worth price expected better
1/12/25,1,131,131,P001,G1024,Host was very responsive and helpful!,host responsive helpful
1/13/25,1,151,151,P001,G1024,"Clean and well-maintained, fantastic experience!",clean fantastic experience
1/14/25,1,149,149,P001,G1024,Great value for the price!,great value price
1/15/25,1,111,111,P001,G1024,"A perfect stay, felt like home!",perfect stay felt like home
1/16/25,1,131,131,P001,G1024,"Not as expected, had some issues.",expected issue
1/17/25,1,134,134,P001,G1024,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
1/18/25,1,137,137,P001,G1017,"A perfect stay, felt like home!",perfect stay felt like home
1/19/25,1,194,194,P001,G1003,"Super cozy, highly recommend!",super cozy highly recommend
1/20/25,1,86,86,P001,G1005,"Great experience, would book again!",great experience would book
1/21/25,1,122,122,P001,G1005,"Loved the location, very convenient!",loved location convenient
1/22/25,1,111,111,P001,G1005,"Super cozy, highly recommend!",super cozy highly recommend
1/23/25,0,156,0,P001,G0,,
1/24/25,1,194,194,P001,G1004,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
1/25/25,1,150,150,P001,G1014,Host was very responsive and helpful!,host responsive helpful
1/26/25,1,139,139,P001,G1014,"Loved the location, very convenient!",loved location convenient
1/27/25,1,74,74,P001,G1025,"Not perfect for the area, felt overpriced.",perfect area felt overpriced
1/28/25,1,88,88,P001,G1025,Host was very responsive and helpful!,host responsive helpful
1/29/25,1,140,140,P001,G1026,"Great experience, would book again!",great experience would book
1/30/25,0,112,0,P001,G0,,
1/31/25,1,191,191,P001,G1027,Great value for the price!,great value price
2/1/25,1,191,191,P001,G1027,"Super cozy, highly recommend!",super cozy highly recommend
8/5/24,1,149,149,P002,G1025,"Loved the location, very convenient!",loved location convenient
8/6/24,1,77,77,P002,G1017,Host was very responsive and helpful!,host responsive helpful
8/7/24,1,84,84,P002,G1017,Host was very responsive and helpful!,host responsive helpful
8/8/24,1,109,109,P002,G1017,Would definitely stay here again!,would definitely stay
8/9/24,1,155,155,P002,G1026,Would definitely stay here again!,would definitely stay
8/10/24,1,183,183,P002,G1026,"Excellent amenities, everything as described!",excellent amenity everything described
8/11/24,1,157,157,P002,G1026,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
8/12/24,1,121,121,P002,G1026,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
8/13/24,1,162,162,P002,G1026,"Clean and well-maintained, fantastic experience!",clean fantastic experience
8/14/24,1,110,110,P002,G1026,"Loved the location, very convenient!",loved location convenient
8/15/24,1,169,169,P002,G1026,"Not perfect for the area, felt overpriced.",perfect area felt overpriced
8/16/24,1,202,202,P002,G1028,"A perfect stay, felt like home!",perfect stay felt like home
8/17/24,1,161,161,P002,G1005,"Loved the location, very convenient!",loved location convenient
8/18/24,1,196,196,P002,G1005,"Uncomfortable stay, wouldn't recommend.",uncomfortable stay would recommend
8/19/24,1,90,90,P002,G1005,"A perfect stay, felt like home!",perfect stay felt like home
8/20/24,1,83,83,P002,G1005,Host was very responsive and helpful!,host responsive helpful
8/21/24,1,132,132,P002,G1023,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
8/22/24,1,110,110,P002,G1008,"Clean and well-maintained, fantastic experience!",clean fantastic experience
8/23/24,1,146,146,P002,G1003,"Great experience, would book again!",great experience would book
8/24/24,1,139,139,P002,G1010,"Great experience, would book again!",great experience would book
8/25/24,1,159,159,P002,G1010,"Loved the location, very convenient!",loved location convenient
8/26/24,0,164,0,P002,G0,,
8/27/24,1,109,109,P002,G1029,Would definitely stay here again!,would definitely stay
8/28/24,1,90,90,P002,G1030,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
8/29/24,1,75,75,P002,G1009,"Excellent amenities, everything as described!",excellent amenity everything described
8/30/24,1,201,201,P002,G1009,Host was very responsive and helpful!,host responsive helpful
8/31/24,1,144,144,P002,G1020,"Loved the location, very convenient!",loved location convenient
9/1/24,1,194,194,P002,G1031,The cleanliness could have been better.,cleanliness could better
9/2/24,1,162,162,P002,G1016,Host was very responsive and helpful!,host responsive helpful
9/3/24,1,75,75,P002,G1032,"Not perfect for the area, felt overpriced.",perfect area felt overpriced
9/4/24,1,152,152,P002,G1033,"A perfect stay, felt like home!",perfect stay felt like home
9/5/24,1,77,77,P002,G1033,"Uncomfortable stay, wouldn't recommend.",uncomfortable stay would recommend
9/6/24,0,171,0,P002,G0,,
9/7/24,1,173,173,P002,G1034,Great value for the price!,great value price
9/8/24,0,172,0,P002,G0,,
9/9/24,1,132,132,P002,G1035,"Great experience, would book again!",great experience would book
9/10/24,1,163,163,P002,G1035,"Loved the location, very convenient!",loved location convenient
9/11/24,0,96,0,P002,G0,,
9/12/24,1,88,88,P002,G1019,"Great experience, would book again!",great experience would book
9/13/24,1,208,208,P002,G1019,"Loved the location, very convenient!",loved location convenient
9/14/24,1,184,184,P002,G1019,Host was very responsive and helpful!,host responsive helpful
9/15/24,1,134,134,P002,G1033,Would definitely stay here again!,would definitely stay
9/16/24,0,136,0,P002,G0,,
9/17/24,1,130,130,P002,G1036,"During  my stay, the host seemed very concerned about the condition of the property, which I found a bit odd. I did my best to be respectful, but I guess some things in the place were already fragile or not in the best shape. It’s unfortunate that I ended up being blamed for it.

Overall, the stay was decent, but I didn’t appreciate feeling like I had to take responsibility for things that may have already been an issue.",stay host seemed concerned condition property found bit odd best respectful guess thing place already fragile best shape unfortunate ended blamed overall stay decent appreciate feeling like take responsibility thing may already issue
9/18/24,1,108,108,P002,G1037,"Clean and well-maintained, fantastic experience!",clean fantastic experience
9/19/24,1,85,85,P002,G1029,"Excellent amenities, everything as described!",excellent amenity everything described
9/20/24,1,178,178,P002,G1029,"Not worth the price, expected better.",worth price expected better
9/21/24,1,164,164,P002,G1029,"Super cozy, highly recommend!",super cozy highly recommend
9/22/24,1,207,207,P002,G1013,"Loved the location, very convenient!",loved location convenient
9/23/24,1,121,121,P002,G1013,"Super cozy, highly recommend!",super cozy highly recommend
9/24/24,1,90,90,P002,G1038,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
9/25/24,1,168,168,P002,G1039,"Super cozy, highly recommend!",super cozy highly recommend
9/26/24,1,115,115,P002,G1039,"A perfect stay, felt like home!",perfect stay felt like home
9/27/24,1,136,136,P002,G1006,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
9/28/24,1,202,202,P002,G1006,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
9/29/24,1,158,158,P002,G1035,"A perfect stay, felt like home!",perfect stay felt like home
9/30/24,1,144,144,P002,G1040,"Excellent amenities, everything as described!",excellent amenity everything described
10/1/24,1,130,130,P002,G1041,Great value for the price!,great value price
10/2/24,1,118,118,P002,G1041,Great value for the price!,great value price
10/3/24,1,105,105,P002,G1041,"Clean and well-maintained, fantastic experience!",clean fantastic experience
10/4/24,1,163,163,P002,G1042,Great value for the price!,great value price
10/5/24,0,192,0,P002,G0,,
10/6/24,1,173,173,P002,G1043,Host was very responsive and helpful!,host responsive helpful
10/7/24,1,119,119,P002,G1019,"Clean and well-maintained, fantastic experience!",clean fantastic experience
10/8/24,1,149,149,P002,G1019,"Clean and well-maintained, fantastic experience!",clean fantastic experience
10/9/24,1,88,88,P002,G1044,Great value for the price!,great value price
10/10/24,1,100,100,P002,G1006,Host was very responsive and helpful!,host responsive helpful
10/11/24,1,180,180,P002,G1045,Great value for the price!,great value price
10/12/24,1,207,207,P002,G1045,Host was very responsive and helpful!,host responsive helpful
10/13/24,1,132,132,P002,G1035,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
10/14/24,1,123,123,P002,G1035,"Not perfect for the area, felt overpriced.",perfect area felt overpriced
10/15/24,1,129,129,P002,G1035,Would definitely stay here again!,would definitely stay
10/16/24,1,102,102,P002,G1035,"A perfect stay, felt like home!",perfect stay felt like home
10/17/24,1,105,105,P002,G1035,"Not perfect for the area, felt overpriced.",perfect area felt overpriced
10/18/24,1,178,178,P002,G1006,"Super cozy, highly recommend!",super cozy highly recommend
10/19/24,1,147,147,P002,G1006,"Excellent amenities, everything as described!",excellent amenity everything described
10/20/24,1,144,144,P002,G1006,"Not worth the price, expected better.",worth price expected better
10/21/24,1,88,88,P002,G1006,"Excellent amenities, everything as described!",excellent amenity everything described
10/22/24,1,166,166,P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.",decent place communication terrible forced leave checkout host never gave clear time also got blamed noise complaint even making noise
10/23/24,1,137,137,P002,G1006,,
10/24/24,1,89,89,P002,G1006,"Not the worst stay, but definitely not booking again.",worst stay definitely booking
10/25/24,1,190,190,P002,G1006,Great value for the price!,great value price
10/26/24,1,198,198,P002,G1006,"Super cozy, highly recommend!",super cozy highly recommend
10/27/24,1,145,145,P002,G1028,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
10/28/24,1,114,114,P002,G1046,"Clean and well-maintained, fantastic experience!",clean fantastic experience
10/29/24,0,165,0,P002,G0,,
10/30/24,1,99,99,P002,G1047,"Loved the location, very convenient!",loved location convenient
10/31/24,1,93,93,P002,G1047,Host was very responsive and helpful!,host responsive helpful
11/1/24,1,174,174,P002,G1047,"Great experience, would book again!",great experience would book
11/2/24,1,184,184,P002,G1047,"Excellent amenities, everything as described!",excellent amenity everything described
11/3/24,1,182,182,P002,G1047,Could have been a better experience.,could better experience
11/4/24,1,124,124,P002,G1047,"Excellent amenities, everything as described!",excellent amenity everything described
11/5/24,1,86,86,P002,G1047,Host was very responsive and helpful!,host responsive helpful
11/6/24,1,140,140,P002,G1047,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
11/7/24,1,144,144,P002,G1030,"Super cozy, highly recommend!",super cozy highly recommend
11/8/24,1,188,188,P002,G1030,Host was very responsive and helpful!,host responsive helpful
11/9/24,0,182,0,P002,G0,,
11/10/24,1,144,144,P002,G1048,Could have been a better experience.,could better experience
11/11/24,1,79,79,P002,G1048,"Excellent amenities, everything as described!",excellent amenity everything described
11/12/24,1,74,74,P002,G1048,The cleanliness could have been better.,cleanliness could better
11/13/24,1,92,92,P002,G1022,"Photos were misleading, room was smaller.",photo misleading room smaller
11/14/24,1,138,138,P002,G1022,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
11/15/24,1,200,200,P002,G1003,Host was very responsive and helpful!,host responsive helpful
11/16/24,1,161,161,P002,G1003,"A perfect stay, felt like home!",perfect stay felt like home
11/17/24,1,193,193,P002,G1003,"Loved the location, very convenient!",loved location convenient
11/18/24,1,147,147,P002,G1003,Great value for the price!,great value price
11/19/24,1,102,102,P002,G1003,Would definitely stay here again!,would definitely stay
11/20/24,1,133,133,P002,G1049,"Excellent amenities, everything as described!",excellent amenity everything described
11/21/24,0,140,0,P002,G0,,
11/22/24,1,146,146,P002,G1042,"Great experience, would book again!",great experience would book
11/23/24,1,157,157,P002,G1050,"Super cozy, highly recommend!",super cozy highly recommend
11/24/24,1,141,141,P002,G1051,"Excellent amenities, everything as described!",excellent amenity everything described
11/25/24,1,100,100,P002,G1051,Would definitely stay here again!,would definitely stay
11/26/24,1,125,125,P002,G1051,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
11/27/24,1,136,136,P002,G1051,"Clean and well-maintained, fantastic experience!",clean fantastic experience
11/28/24,1,77,77,P002,G1051,Great value for the price!,great value price
11/29/24,1,198,198,P002,G1051,Great value for the price!,great value price
11/30/24,1,178,178,P002,G1052,Would definitely stay here again!,would definitely stay
12/1/24,1,180,180,P002,G1011,"Excellent amenities, everything as described!",excellent amenity everything described
12/2/24,0,102,0,P002,G0,,
12/3/24,1,128,128,P002,G1028,"Super cozy, highly recommend!",super cozy highly recommend
12/4/24,0,145,0,P002,G0,,
12/5/24,1,147,147,P002,G1053,"Not worth the price, expected better.",worth price expected better
12/6/24,1,210,210,P002,G1053,"Super cozy, highly recommend!",super cozy highly recommend
12/7/24,1,186,186,P002,G1053,Would definitely stay here again!,would definitely stay
12/8/24,1,188,188,P002,G1054,"Super cozy, highly recommend!",super cozy highly recommend
12/9/24,1,84,84,P002,G1054,"Host was slow to respond, frustrating.",host slow respond frustrating
12/10/24,1,76,76,P002,G1054,"I was really surprised when the host brought up a concern about pets. I personally didn’t think it would be an issue, but apparently, there was some misunderstanding. Not sure how it happened, but I was still asked about it, which made the experience a bit uncomfortable.",really surprised host brought concern pet personally think would issue apparently misunderstanding sure happened still asked made experience bit uncomfortable
12/11/24,0,72,0,P002,G0,,
12/12/24,1,88,88,P002,G1003,"Other than that, the place was fine, but I wish communication had been clearer.",place fine wish communication clearer
12/13/24,1,133,133,P002,G1003,"Loved the location, very convenient!",loved location convenient
12/14/24,1,138,138,P002,G1003,"Clean and well-maintained, fantastic experience!",clean fantastic experience
12/15/24,1,164,164,P002,G1003,"Too loud at night, difficult to sleep.",loud night difficult sleep
12/16/24,1,132,132,P002,G1003,Great value for the price!,great value price
12/17/24,1,74,74,P002,G1003,Would definitely stay here again!,would definitely stay
12/18/24,1,147,147,P002,G1003,"Photos were misleading, room was smaller.",photo misleading room smaller
12/19/24,1,114,114,P002,G1044,Great value for the price!,great value price
12/20/24,1,177,177,P002,G1044,"Great experience, would book again!",great experience would book
12/21/24,1,133,133,P002,G1044,"Not as expected, had some issues.",expected issue
12/22/24,1,181,181,P002,G1044,Would definitely stay here again!,would definitely stay
12/23/24,1,114,114,P002,G1055,Would definitely stay here again!,would definitely stay
12/24/24,1,89,89,P002,G1055,"A perfect stay, felt like home!",perfect stay felt like home
12/25/24,1,155,155,P002,G1031,Would definitely stay here again!,would definitely stay
12/26/24,1,127,127,P002,G1031,"Clean and well-maintained, fantastic experience!",clean fantastic experience
12/27/24,1,200,200,P002,G1031,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
12/28/24,1,208,208,P002,G1031,"Excellent amenities, everything as described!",excellent amenity everything described
12/29/24,1,139,139,P002,G1031,Great value for the price!,great value price
12/30/24,1,77,77,P002,G1056,"Clean and well-maintained, fantastic experience!",clean fantastic experience
12/31/24,1,132,132,P002,G1056,Would definitely stay here again!,would definitely stay
1/1/25,1,147,147,P002,G1056,"Clean and well-maintained, fantastic experience!",clean fantastic experience
1/2/25,1,83,83,P002,G1056,"A perfect stay, felt like home!",perfect stay felt like home
1/3/25,1,145,145,P002,G1056,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
1/4/25,1,209,209,P002,G1056,"Not worth the price, expected better.",worth price expected better
1/5/25,1,132,132,P002,G1056,"Super cozy, highly recommend!",super cozy highly recommend
1/6/25,1,87,87,P002,G1056,"Clean and well-maintained, fantastic experience!",clean fantastic experience
1/7/25,1,127,127,P002,G1056,"Loved the location, very convenient!",loved location convenient
1/8/25,1,140,140,P002,G1056,Great value for the price!,great value price
